problem_slug,symptom_1,symptom_2,symptom_3,step_1,step_2,step_3,faq_1_q,faq_1_a,faq_2_q,faq_2_a,faq_3_q,faq_3_a
broken-sewer-pipe,"Recurring drainage issues continue after clearing","Sewer odours persist","Ground movement or sinking appears near the line","Inspect the pipe interior to identify structural damage","Confirm the location and extent of the break","Recommend repair or replacement based on findings","How is a broken sewer pipe confirmed?","Drain camera inspection is a practical way to verify pipe damage.","Can a broken pipe cause repeated blockages?","Yes. Structural failure often leads to ongoing drainage problems.","Is repair always immediate?","The repair plan depends on the location, severity, and risk of further failure."
root-intrusion,"Recurring blockages keep returning","Drain flow improves temporarily and then fails again","Inspection shows internal pipe obstruction","Inspect the line to confirm root entry points","Assess the severity of intrusion and pipe condition","Recommend clearing, repair, or further rehabilitation","Why do roots get into drains?","Roots can enter through joints, cracks, or damaged pipe sections in search of moisture.","Will clearing roots solve the issue permanently?","Not always. The underlying pipe condition may also need repair.","Can camera inspection confirm root intrusion?","Yes. Internal camera inspection is a reliable way to identify root-related obstruction."
collapsed-drain-line,"Drainage fails repeatedly despite clearing","Sections of the line no longer flow properly","Inspection suggests structural pipe collapse","Inspect the drain to confirm where the line has failed","Assess whether flow can be restored temporarily","Recommend the appropriate repair or replacement work","What is a collapsed drain line?","It is a section of pipe that has structurally failed and restricts or blocks flow.","Can a collapsed drain be cleared normally?","Often no. Structural failure usually requires repair rather than simple clearing.","How do you confirm a collapse?","Camera inspection helps identify the exact location and severity of the failure."
unknown-drain-blockage,"Drain backups occur without a clear cause","Previous clearing attempts have not resolved the issue","The source of the blockage is uncertain","Inspect the drain system to locate the cause","Identify whether the issue is debris, damage, or another fault","Recommend the correct corrective action based on findings","Why is a camera inspection useful for unknown blockages?","It helps identify the actual cause when the blockage source is not obvious.","Could the blockage be caused by pipe damage?","Yes. Hidden defects can contribute to ongoing drainage problems.","Is inspection useful after repeated drain clearing?","Yes. It helps avoid guessing and supports more accurate repair planning."
recurring-drain-problem,"The same drain blocks again after being cleared","Drain performance is inconsistent","There may be an unresolved underlying fault","Review the drainage history and current symptoms","Inspect the line for deeper causes such as damage or roots","Recommend the most effective long-term fix","Why do drain problems keep coming back?","Recurring faults often point to a deeper blockage, pipe defect, or root intrusion.","Is repeated clearing enough?","Not always. Ongoing issues often need investigation beyond basic clearing.","What is the best next step for recurring drainage issues?","A proper inspection helps identify the underlying cause and avoid repeated disruption."
low-water-pressure,"Sprinklers do not pop up or cover properly","Zones run weakly or unevenly","System performance drops compared with normal operation","Check the irrigation system for pressure loss points","Test valves, filters, and affected zones","Recommend repair steps to restore stable performance","What causes low pressure in an irrigation system?","Leaks, clogged components, valve issues, or supply problems can all reduce pressure.","Can one faulty zone affect the rest of the system?","Yes. Some faults can affect overall performance or controller behavior.","Should low pressure be repaired quickly?","Yes. Reduced pressure can lead to poor coverage and wasted watering cycles."
broken-sprinkler,"A sprinkler head does not rise or rotate properly","Water sprays unevenly or in the wrong direction","Visible damage appears on the sprinkler head","Inspect the affected sprinkler and surrounding area","Replace or repair the faulty component","Test the zone to confirm correct operation","How do I know if a sprinkler is broken?","Poor spray pattern, no pop-up action, or visible damage are common signs.","Can a damaged sprinkler waste water?","Yes. Faulty spray patterns and leaks can reduce efficiency and waste water.","Do broken sprinklers affect the whole system?","Sometimes the issue is isolated, but multiple failures can point to wider system problems."
valve-failure,"One zone does not open or shut correctly","Water continues running after the cycle ends","A section of the system stops responding","Test the valve and control response","Identify whether the fault is electrical or mechanical","Repair or replace the failed valve component","What are signs of valve failure?","Zones sticking on or failing to activate are common indicators.","Can valve problems cause high water usage?","Yes. A valve that does not close properly can lead to ongoing water loss.","Is valve replacement always necessary?","Not always. The correct fix depends on the specific fault and valve condition."
controller-fault,"The irrigation schedule does not run as expected","Zones fail to start or stop correctly","Controller settings do not respond properly","Inspect the controller and related wiring inputs","Test outputs and programming behavior","Repair, reset, or recommend replacement if needed","What does an irrigation controller fault look like?","Common signs include missed schedules, non-responsive zones, or erratic timing.","Can wiring issues appear like a controller fault?","Yes. Wiring and solenoid faults can sometimes mimic controller problems.","Should I replace the controller immediately?","Not always. It is better to diagnose the fault first and confirm the cause."
pipe-leak,"Wet patches appear around irrigation lines","Pressure drops during watering cycles","One area receives excess water or pooling","Inspect the affected line and surrounding components","Locate the leak and isolate the damaged section","Repair the pipe and confirm normal system pressure","How can I tell if an irrigation pipe is leaking?","Wet ground, pressure loss, and uneven watering are common signs.","Can a pipe leak affect system coverage?","Yes. Leaks reduce pressure and can disrupt normal sprinkler performance.","Is a leaking line worth fixing quickly?","Yes. Early repair helps reduce water waste and prevent bigger failures."
low-borehole-pressure,"Water flow is weaker than normal","Pressure drops during use","Supply feels inconsistent across outlets","Check the system for pressure-related faults","Test likely components affecting pressure stability","Recommend repair steps based on the findings","What causes low borehole pressure?","Pressure can drop because of pump wear, controller faults, leaks, or blocked components.","Can low pressure affect the whole property supply?","Yes. Borehole pressure issues often affect all connected outlets.","Should low pressure be investigated early?","Yes. Early diagnosis helps prevent wider supply disruption."
pump-not-starting,"No water is delivered when the system is called on","The pump remains silent or inactive","Power may be present but the pump does not run","Check power, controls, and pump response","Identify the most likely start failure point","Recommend repair or replacement based on the diagnosis","Why would a borehole pump fail to start?","Electrical faults, pressure control issues, or pump failure are common causes.","Can the problem be outside the pump itself?","Yes. Controllers, switches, or power supply faults can also prevent startup.","Is a non-starting pump an urgent issue?","Yes. If the borehole is your main supply, it should be inspected promptly."
pressure-controller-fault,"Water pressure cycles unpredictably","The pump starts or stops at the wrong time","System pressure is unstable under normal use","Inspect controller behavior and system response","Test whether the fault is in settings, wiring, or the controller unit","Recommend repair or replacement as required","What does a pressure controller do?","It helps manage when the pump starts and stops to maintain usable water pressure.","Can a faulty controller affect pump life?","Yes. Poor control can lead to short cycling or unreliable operation.","How is a controller fault confirmed?","Testing the controller alongside the pump and pressure system helps isolate the issue."
no-water-supply,"No water reaches taps or connected outlets","Pump-system response is absent or inconsistent","The supply interruption affects normal use immediately","Check the system for the source of the supply failure","Test pump, controls, and key supply components","Recommend the fastest practical route to restore water","What causes a total loss of borehole water supply?","Pump faults, controller problems, electrical issues, or system failures can all stop supply.","Is no water supply always caused by the pump?","No. The issue can also come from controls, power, or related components.","What should I do first if borehole water stops?","Reduce strain on the system and arrange a proper inspection as soon as possible."
pump-cycling-problem,"The pump turns on and off too frequently","Pressure fluctuates during normal use","System operation feels unstable or inconsistent","Assess the cycling pattern and system demand","Test pressure controls, leaks, and related components","Identify the cause and recommend corrective action","Why does a pump short cycle?","Short cycling can be caused by pressure control issues, leaks, or system configuration problems.","Is pump cycling bad for the system?","Yes. Frequent cycling can increase wear and reduce system reliability.","Can a leak cause cycling problems?","Yes. Ongoing pressure loss from leaks can trigger repeated pump operation."
